Category,Expense
Payroll & Benefits,Salaries
Payroll & Benefits,Wages
Payroll & Benefits,Overtime pay
Payroll & Benefits,Bonuses
Payroll & Benefits,Health insurance premiums
Payroll & Benefits,Retirement contributions
Payroll & Benefits,paid time off - sick leave 
Payroll & Benefits,Employee training expenses
Payroll & Benefits,Disability insurance premiums
Payroll & Benefits,Life insurance premiums
Payroll & Benefits,Dental insurance premiums
Payroll & Benefits,Vision insurance premiums
Payroll & Benefits,Employee discounts
Payroll & Benefits,Childcare benefits
Payroll & Benefits,Commuter benefits
Payroll & Benefits,Tuition reimbursement
Payroll & Benefits,Stock options
Payroll & Benefits,Employee assistance programs
Payroll & Benefits,Gym memberships
Payroll & Benefits,Performance bonuses
Office & Utilities,Rent
Office & Utilities,Lease payments
Office & Utilities,Mortgage payments
Office & Utilities,Property taxes
Office & Utilities,Property insurance premiums
Office & Utilities,Mobile phone bills
Office & Utilities,Electricity bills
Office & Utilities,Internet service fees
Office & Utilities,Telephone bills
Office & Utilities,Office cleaning services
Office & Utilities,Security services
Office & Utilities,Waste disposal fees
Office & Utilities,Maintenance fees
Office & Utilities,Repairs
Office & Utilities,Office renovation costs
Office & Utilities,Parking fees
Office & Utilities,Property management fees
Office & Utilities,Pest control services
Office & Utilities,Elevator maintenance fees
Office & Utilities,Fire safety equipment maintenance
Office & Utilities,HVAC system maintenance
Marketing & Advertising,Google Ads
Marketing & Advertising,Newspaper printing fee
Marketing & Advertising,Television advertising costs
Marketing & Advertising,Radio advertising costs
Marketing & Advertising,Billboards advertising cost
Marketing & Advertising,Email marketing software subscriptions
Marketing & Advertising,Social media management tools subscriptions
Marketing & Advertising,Copywriting fees
Marketing & Advertising,Influencer marketing fees
Marketing & Advertising,Sponsorship fees
Marketing & Advertising,Event marketing expenses
Marketing & Advertising,Promotional merchandise costs
Marketing & Advertising,Public relations agency fees
Marketing & Advertising,Market research expenses
Marketing & Advertising,Focus group costs
Marketing & Advertising,Website development costs
Marketing & Advertising,Search engine optimization (SEO) services
Marketing & Advertising,Pay-per-click (PPC) management fees
Marketing & Advertising,Affiliate marketing commissions
Office Supplies & Equip.,Paper
Office Supplies & Equip.,Printer ink cartridges
Office Supplies & Equip.,Toner cartridges
Office Supplies & Equip.,Desks
Office Supplies & Equip.,Computers
Office Supplies & Equip.,Laptops
Office Supplies & Equip.,Monitors
Office Supplies & Equip.,Printers
Office Supplies & Equip.,Scanners
Office Supplies & Equip.,Copiers
Office Supplies & Equip.,Shredders
Office Supplies & Equip.,Office phones
Office Supplies & Equip.,VoIP systems
Office Supplies & Equip.,Tape
Office Supplies & Equip.,Staplers
Office Supplies & Equip.,Filing cabinets
Travel & Transport,Airline tickets
Travel & Transport,Hotel accommodations
Travel & Transport,Rental car expenses
Travel & Transport,Fuel expenses
Travel & Transport,Train ticket
Travel & Transport,Taxi and rideshare fares
Travel & Transport,Parking fees
Travel & Transport,Toll fees
Travel & Transport,Airport lounge access fees
Travel & Transport,Visa and passport fees
Travel & Transport,Travel insurance premiums
Travel & Transport,Travel agency fees
Travel & Transport,Baggage fees
Travel & Transport,Airport shuttle services
Travel & Transport,Car rental insurance
Travel & Transport,Mileage reimbursement
Travel & Transport,International calling charges
Travel & Transport,Airport parking fees
Travel & Transport,Airport transfer fees
Travel & Transport,Bicycles rental fees
Professional Services,Legal fees
Professional Services,Accounting fees
Professional Services,Consulting fees
Professional Services,Financial advisory fees
Professional Services,Tax preparation fees
Professional Services,Auditing fees
Professional Services,Marketing consulting fees
Professional Services,IT consulting fees
Professional Services,Human resources consulting fees
Professional Services,Graphic design fees
Professional Services,Web development fees
Professional Services,Copywriting fees
Professional Services,Translation services
Professional Services,Architecture fees
Professional Services,Engineering fees
Professional Services,Surveying fees
Professional Services,Interior design fees
Professional Services,Public relations fees
Professional Services,Advertising agency fees
Insurance,Property insurance premiums
Insurance,Liability insurance premiums
Insurance,Workers' compensation insurance premiums
Insurance,Business interruption insurance premiums
Insurance,Health insurance premiums
Insurance,Dental insurance premiums
Insurance,Vision insurance premiums
Insurance,Life insurance premiums
Insurance,Disability insurance premiums
Insurance,Professional liability insurance premiums
Insurance,Cybersecurity insurance premiums
Insurance,Errors and omissions insurance premiums
Insurance,Directors and officers insurance premiums
Insurance,Employment practices liability insurance premiums
Insurance,Umbrella insurance premiums
Insurance,Commercial auto insurance premiums
Insurance,Product liability insurance premiums
Insurance,Fidelity bonds premiums
Insurance,Key person insurance premiums
Insurance,Travel insurance premiums
Repairs & Maintenance,Equipment repairs
Repairs & Maintenance,Facility maintenance
Repairs & Maintenance,Vehicle maintenance
Repairs & Maintenance,Machinery maintenance
Repairs & Maintenance,Building repairs
