Category,Expense
Payroll & Benefits,Paid parental leave
Payroll & Benefits,Employee recognition awards
Payroll & Benefits,Employee referral bonuses
Payroll & Benefits,Employee wellness programs
Payroll & Benefits,Flexible spending accounts (FSA) contributions
Payroll & Benefits,Employee transit subsidies
Payroll & Benefits,Employee relocation expenses
Office & Utilities,Internet service provider fees
Office & Utilities,Office lease renewal fees
Office & Utilities,Building security deposit
Office & Utilities,Waste management services
Office & Utilities,Snow removal services
Office & Utilities,Office furniture maintenance
Office & Utilities,Water cooler rental
Marketing & Advertising,Content creation fees
Marketing & Advertising,Social media advertising management fees
Marketing & Advertising,Influencer marketing campaign costs
Marketing & Advertising,Webinar hosting fees
Marketing & Advertising,Content distribution platform subscriptions
Marketing & Advertising,Trade show booth expenses
Marketing & Advertising,Product launch event expenses
Office Supplies & Equipment,Office chair replacements
Office Supplies & Equipment,Standing desks
Office Supplies & Equipment,Ergonomic keyboard and mouse sets
Office Supplies & Equipment,File cabinets
Office Supplies & Equipment,Whiteboards and markers
Office Supplies & Equipment,Presentation clickers
Office Supplies & Equipment,Office plants
Travel & Transport,Rental bike expenses
Travel & Transport,Scooter rental fees
Travel & Transport,Travel visa fees
Travel & Transport,Prepaid travel cards
Travel & Transport,Car wash expenses (for company vehicles)
Travel & Transport,Airport lounge membership fees
Travel & Transport,Transportation network company (TNC) memberships
Professional Services,Patent filing fees
Professional Services,Trademark registration fees
Professional Services,Employee background check services
Professional Services,Data analysis consulting fees
Professional Services,Customer satisfaction survey services
Professional Services,Employee engagement survey services
Professional Services,Website security audit fees
Insurance,Business owner's policy (BOP) premiums
Insurance,Employment practices liability insurance (EPLI) premiums
Insurance,Cyber liability insurance premiums
Insurance,Directors and officers (D&O) insurance premiums
Insurance,Intellectual property insurance premiums
Insurance,Environmental liability insurance premiums
Insurance,Business interruption insurance deductibles
Repairs & Maintenance,Elevator modernization costs
Repairs & Maintenance,Boiler replacement expenses
Repairs & Maintenance,Generator installation costs
Repairs & Maintenance,HVAC system upgrade costs
Repairs & Maintenance,Security system upgrades
Repairs & Maintenance,Roof replacement costs
Repairs & Maintenance,Exterior painting costs
Software & Subscriptions,Customer relationship management (CRM) software subscriptions
Software & Subscriptions,Inventory tracking software subscriptions
Software & Subscriptions,Project management software subscriptions
Software & Subscriptions,Cloud storage subscriptions
Software & Subscriptions,Email marketing platform subscriptions
Software & Subscriptions,Sales automation software subscriptions
Software & Subscriptions,Virtual private network (VPN) subscriptions
Food,Energy drinks
Food,Protein bars
Food,Frozen meals
Food,Office snacks subscription services
Food,Catered lunches
Food,Employee appreciation event catering
Food,Meal delivery service subscriptions
Payroll & Benefits,Paid parental leave
Payroll & Benefits,Employee recognition awards
Payroll & Benefits,Employee referral bonuses
Payroll & Benefits,Employee wellness programs
Payroll & Benefits,Flexible spending accounts (FSA) contributions
Payroll & Benefits,Employee transit subsidies
Payroll & Benefits,Employee relocation expenses
Office & Utilities,Internet service provider fees
Office & Utilities,Office lease renewal fees
Office & Utilities,Building security deposit
Office & Utilities,Waste management services
Office & Utilities,Snow removal services
Office & Utilities,Office furniture maintenance
Office & Utilities,Water cooler rental
Marketing & Advertising,Content creation fees
Marketing & Advertising,Social media advertising management fees
Marketing & Advertising,Influencer marketing campaign costs
Marketing & Advertising,Webinar hosting fees
Marketing & Advertising,Content distribution platform subscriptions
Marketing & Advertising,Trade show booth expenses
Marketing & Advertising,Product launch event expenses
Office Supplies & Equipment,Office chair replacements
Office Supplies & Equipment,Standing desks
Office Supplies & Equipment,Ergonomic keyboard and mouse sets
Office Supplies & Equipment,File cabinets
Office Supplies & Equipment,Whiteboards and markers
Office Supplies & Equipment,Presentation clickers
Office Supplies & Equipment,Office plants
Travel & Transport,Rental bike expenses
